candidate_id,family,feature_recipe,model_type,threshold_method,calibration_method,split_name,fold_id,evaluation_level,n_predictions,n_features,threshold,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,sensitivity,specificity,ece
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_text,2,official_trial_level_fold_mean,797,47,0.46,0.8811280438638929,0.6885658217494564,0.7726038810944471,0.6548703223786333,0.14620956787965078,0.7962962962962963,0.7489114658925979,0.21050501019176626
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_text,3,official_trial_level_fold_mean,983,47,0.24000000000000002,0.8900109621907835,0.7526136220656563,0.8062044965665591,0.7460875916309644,0.12142089746651007,0.9007352941176471,0.7116736990154712,0.05465343940372901
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,0,official_trial_level_fold_mean,884,47,0.27,0.7121904481132075,0.4407035090327406,0.6371995732255167,0.6039797885086211,0.16355082665547124,0.5943396226415094,0.6800595238095238,0.060838354614681824
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,1,official_trial_level_fold_mean,906,47,0.56,0.6042993408189486,0.4204231795841661,0.6073613205966147,0.6251957645900025,0.1675289517778998,0.23039215686274508,0.9843304843304843,0.1385600170124428
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,2,official_trial_level_fold_mean,799,47,0.22,0.9259147153546262,0.6884264504360555,0.797679008160399,0.6439046597079959,0.08588701533950793,0.9262295081967213,0.6691285081240768,0.1267883318210843
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,3,official_trial_level_fold_mean,965,47,0.22,0.7662153502942852,0.4060278012456606,0.7488459986709702,0.6914843585094079,0.16863045501713572,0.7816593886462883,0.7160326086956522,0.14258533820858252
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,0,official_trial_level_fold_mean,321,47,0.34,0.5572016460905349,0.25437954473836394,0.45347222222222217,0.4444698714189682,0.19797375767238007,0.1111111111111111,0.7958333333333333,0.12389275215602943
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,1,official_trial_level_fold_mean,269,47,0.26,0.6407560137457045,0.6512067150629641,0.5184536082474227,0.45838926174496647,0.17903966170350707,0.64,0.39690721649484534,0.2267117983221132
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,2,official_trial_level_fold_mean,404,47,0.37,0.797031918067018,0.7779775066250103,0.6974992542507706,0.6974584976308029,0.19875891182349334,0.5056179775280899,0.8893805309734514,0.1383181803417147
candidate_0004_3f1cbc883e,d3_lite_plus_raw_gaze,d3_lite_raw_summary,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,3,official_trial_level_fold_mean,234,47,0.34,0.6795608108108109,0.4380340246593223,0.514527027027027,0.4529255655250853,0.21939518014054057,0.05405405405405406,0.975,0.1337691065166117
