outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type
log_total_fixation_duration,linear,speech_18561,0.024501323784855786,0.08671860291567264,0.8333333333333334,-0.13025097609424546,0.12041282000372469,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_18670,-0.07797858128622655,0.05295877145427529,0.16666666666666666,-0.16480761900900165,0.0003254318090327229,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202150,0.3052916896785811,0.16514723515106672,1.0,0.0,0.4422634700092213,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202151,0.3456678669752875,0.20927575395127931,1.0,0.0,0.554279133289651,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202152,0.15531712028694677,0.10157670470736754,1.0,-0.12081655022839788,0.22456583596475607,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202201,0.04976668477376916,0.153399803277338,0.6666666666666666,-0.182760805984094,0.2639084801836883,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202202,0.15800924361460117,0.20255037706042278,0.0,0.06657084424586164,0.700763605962748,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202203,-0.009948727004310919,0.12011624431735622,0.6666666666666666,-0.2549708222255917,0.1085301485025335,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202204,0.24792559635322106,0.1801622594449892,0.3333333333333333,-0.12459827313137065,0.4465676599769765,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202205,0.17309866069738697,0.18686211348716913,0.16666666666666666,0.0030469199371983622,0.48211694961062274,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_202206,0.25197532417431723,0.2588543099981034,0.6666666666666666,-0.0720951333785674,0.6092589468774713,62354,ridge_linear_regression
