outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type,model_family
log_go_past_time,linear,speech_18473,0.1454959093296715,0.08710323760946942,0.0,0.015714425366775652,0.28541744542832254,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_18561,0.06031481785676712,0.07996193195681997,0.8333333333333334,-0.1122497286498703,0.12110535141328085,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_18670,0.03886393936444019,0.053802777260219196,0.6666666666666666,-0.0782686422283825,0.0866808504057205,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202150,0.4732671195541284,0.2546282815122596,0.6666666666666666,0.0,0.6818845684129087,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202151,0.30003745519861286,0.17588650815740361,0.6666666666666666,0.0,0.475643500358217,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202152,0.19608003920916614,0.12489603556981257,0.6666666666666666,0.0,0.3155127412784584,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202201,-0.15079620513960668,0.15377547886854187,0.16666666666666666,-0.4762875797379761,-0.009027876571001943,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202202,-0.20065178447500395,0.26072052252142963,0.3333333333333333,-0.4228338625231039,0.41222210300570095,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202203,-0.14509848831553473,0.2355803162866332,0.6666666666666666,-0.544914849670649,0.18088422573029722,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202204,0.1799822857382587,0.13326452234647834,0.5,0.0,0.375843539540948,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202205,0.14729872582924092,0.17442652262401803,1.0,-0.13497323645534964,0.432602968239847,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202206,0.14048237485608198,0.11183814935159228,1.0,-0.02121420086120511,0.28870841890826177,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202207,0.05423819835254865,0.14365888652285916,1.0,-0.19455733028774183,0.23677484279104755,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202208,0.01314498038203623,0.11129427885385107,0.8333333333333334,-0.12271569244978411,0.21498761871220035,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_202209,-0.07549083217708842,0.10218646820097775,0.6666666666666666,-0.21313177883386292,0.08215994619127309,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_22811,0.07354430978811659,0.11619349933113504,0.6666666666666666,-0.12495455194724558,0.2188312024308821,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_26670,0.02932563137305778,0.07337414386677571,0.6666666666666666,-0.161977409709478,0.05876055797066325,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_26682,0.03962527735618606,0.08495122376070822,0.6666666666666666,-0.1556538649563572,0.09232467860611403,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_7797,0.11965545978616351,0.10032581175620685,0.3333333333333333,-0.06802503372487526,0.25419582143588826,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_7856,0.08304057866263735,0.02610874766939527,0.0,0.04655727276477222,0.11873916766858882,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_7905,0.09473099074012012,0.0704060657498861,0.5,-0.058825629878185244,0.1527171034574175,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_7946,0.03295901494502862,0.062480712499152005,1.0,-0.08271717633961505,0.07934123933113546,62306,ridge_linear_regression,opacity_controlled
log_total_fixation_duration,linear,intercept,5.651130081894703,,,,,62306,ridge_linear_regression,opacity_controlled
log_total_fixation_duration,linear,prev_boundary_opacity_score_z,0.0053828016638627005,0.012262334565976626,1.0,-0.01221989994174489,0.0244291124799955,62306,ridge_linear_regression,opacity_controlled
log_total_fixation_duration,linear,vv_indicator_z,0.0015186597655718406,0.005537661603617981,0.8333333333333334,-0.007830849537119705,0.009393567147348687,62306,ridge_linear_regression,opacity_controlled
