evaluation_level,split_regime,feature_group,prefix_type,prefix_value,threshold_source,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,source_name
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,chronological_prefix,50,fixed_0_5,57.0,57.0,0.0,0.6537396121883656,0.4716944979895621,0.6710526315789473,0.6607142857142857,0.2739847361803096,0.631578947368421,0.7105263157894737,0.2894736842105263,0.3684210526315789,0.2640251882095348,0.029335795454200096,0.3531818521813832,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,chronological_prefix,500,fixed_0_5,57.0,57.0,0.0,0.8559556786703602,0.8107781234740088,0.763157894736842,0.7524223187437353,0.15255647702392702,0.7368421052631579,0.7894736842105263,0.21052631578947367,0.2631578947368421,0.16893183556460417,0.05748279413597223,0.3869587610769088,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,chronological_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9058171745152355,0.8818171948370077,0.8421052631578947,0.828600066822586,0.12896374665667618,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.15789473684210525,0.1125977148461827,0.06027049283573749,0.3830047923612548,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,speech_prefix,1,fixed_0_5,57.0,57.0,0.0,0.814404432132964,0.7663715597050671,0.7105263157894737,0.6984126984126984,0.20242843702792376,0.6842105263157895,0.7368421052631579,0.2631578947368421,0.3157894736842105,0.24029103051148776,0.05516592154077506,0.3633920794393406,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,speech_prefix,2,fixed_0_5,55.0,55.0,0.0,0.7747747747747749,0.7239867434007865,0.683933933933934,0.6783625730994152,0.21166841779068865,0.6111111111111112,0.7567567567567568,0.24324324324324326,0.3888888888888889,0.19868120604356887,0.048730687758222806,0.36595515212246027,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,speech_prefix,3,fixed_0_5,43.0,43.0,0.0,0.7696969696969697,0.6815734145475525,0.6939393939393939,0.6735679779158039,0.19197879032615084,0.6,0.7878787878787878,0.21212121212121213,0.4,0.21118204211184882,0.06407994857272084,0.29665188063786635,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,speech_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9058171745152355,0.8818171948370077,0.8421052631578947,0.828600066822586,0.12896374665667618,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.15789473684210525,0.1125977148461827,0.06027049283573749,0.3830047923612548,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,trial_or_text_prefix,1,fixed_0_5,57.0,57.0,0.0,0.814404432132964,0.7663715597050671,0.7105263157894737,0.6984126984126984,0.20242843702792376,0.6842105263157895,0.7368421052631579,0.2631578947368421,0.3157894736842105,0.24029103051148776,0.05516592154077506,0.3633920794393406,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,trial_or_text_prefix,2,fixed_0_5,55.0,55.0,0.0,0.7747747747747749,0.7239867434007865,0.683933933933934,0.6783625730994152,0.21166841779068865,0.6111111111111112,0.7567567567567568,0.24324324324324326,0.3888888888888889,0.19868120604356887,0.048730687758222806,0.36595515212246027,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,trial_or_text_prefix,3,fixed_0_5,43.0,43.0,0.0,0.7696969696969697,0.6815734145475525,0.6939393939393939,0.6735679779158039,0.19197879032615084,0.6,0.7878787878787878,0.21212121212121213,0.4,0.21118204211184882,0.06407994857272084,0.29665188063786635,
