analysis_row,source_name,candidate_id,feature_group,model,evaluation_level,split_regime,threshold_source,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,calibration_slope,calibration_intercept,threshold,n_candidate_thresholds,information_bits,notes
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,phase4_d3_reader_profile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,fixed_0_5,True,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.11594163409415904,0.8693048353453224,-0.5321293920730354,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,phase4_d3_reader_profile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,phase4_d3_reader_profile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,phase4_d3_reader_profile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
simple_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,fixed_0_5,True,0.8961218836565096,0.8737669012394285,0.8157894736842105,0.8074324324324325,0.13258578802063214,2.025916446083834,-0.607195691594816,0.5,,,
simple_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,fixed_0_5,True,0.8541666666666666,0.773968253968254,0.7458333333333333,0.7312252964426877,0.15010920568310288,0.9591521447069387,-0.7653116144454498,0.5,,,
simple_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,fixed_0_5,True,0.9279778393351801,0.9007604344325302,0.868421052631579,0.8492063492063492,0.12280392427832693,2.5222495090969845,-0.6788071890724431,0.5,,,
simple_mean_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader,fixed_0_5,True,0.8468468468468469,0.733418232973587,0.753003003003003,0.7417840375586855,0.17831189227962777,0.9738001555526982,-0.8653818164119431,0.5,,,
simple_mean_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader_and_text,fixed_0_5,True,0.7792207792207793,0.6481835158305747,0.6201298701298701,0.6201298701298701,0.1892822556437215,1.1337509907178465,-0.7846743632234763,0.5,,,
simple_mean_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_text,fixed_0_5,True,0.8543543543543543,0.7367202073032064,0.753003003003003,0.7417840375586855,0.16848040153432145,1.3010053919213862,-0.7918180597358998,0.5,,,
simple_mean_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,fixed_0_5,True,0.8123123123123123,0.7771532412449913,0.7387387387387387,0.7352832284339134,0.20158719959351837,4.149824943777067,-0.6096119244946412,0.5,,,
simple_mean_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,fixed_0_5,True,0.724025974025974,0.606610449601454,0.711038961038961,0.6990740740740741,0.21174971814252153,2.099270085404947,-0.8143630142475192,0.5,,,
simple_mean_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,fixed_0_5,True,0.8483483483483484,0.7790676472160216,0.737987987987988,0.7445820433436532,0.19976596004743202,5.126184364733057,-0.45909628219812,0.5,,,
logit_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,fixed_0_5,True,0.8767313019390581,0.8366246679677585,0.8289473684210527,0.8246153846153846,0.1365403647664131,1.4070678237058007,-0.6235952027858843,0.5,,,
logit_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,fixed_0_5,True,0.8375,0.7352380952380952,0.7458333333333333,0.7312252964426877,0.15734428290868335,0.8863307268102062,-0.7984660361388363,0.5,,,
logit_mean_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,fixed_0_5,True,0.9085872576177285,0.8660091370617686,0.868421052631579,0.8492063492063492,0.12265842088846136,1.7646821368083607,-0.6767749642640322,0.5,,,
logit_mean_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader,fixed_0_5,True,0.8423423423423424,0.7091995183302993,0.753003003003003,0.7417840375586855,0.1799778797172869,0.7536377027946044,-0.9083834409981019,0.5,,,
